species,id,stomatal_conducatance,light_adapted_flourescence,date
ceol,29,0.252,0.62,3/15/2022
ceol,29,0.17,0.55,3/15/2022
ceol,24,0.096,0.54,3/15/2022
ceol,24,0.067,0.38,3/15/2022
ceol,24,0.11,0.42,3/15/2022
ceol,31,0.501,0.55,3/15/2022
ceol,31,0.278,0.52,3/15/2022
ceol,31,0.425,0.58,3/15/2022
ceol,25,0.042,0.28,3/15/2022
hear,5,0.113,0.63,3/15/2022
hear,8,0.204,0.6,3/15/2022
hear,8,0.15,0.48,3/15/2022
hear,8,0.062,0.71,3/15/2022
rhov,48,0.035,0.56,3/15/2022
rhov,48,0.052,0.52,3/15/2022
rhov,48,0.05,0.33,3/15/2022
rhov,44,0.032,0.34,3/15/2022
rhov,44,0.04,0.48,3/15/2022
rhov,44,0.046,0.63,3/15/2022
rhov,9,0.077,0.37,3/15/2022
rhov,9,0.082,0.51,3/15/2022
rhov,9,0.074,0.42,3/15/2022
rhov,35,0.033,0.43,3/15/2022
rhov,35,0.039,0.47,3/15/2022
rhov,35,0.083,0.63,3/15/2022
rhov,10,0.051,0.52,3/15/2022
rhov,10,0.058,0.91,3/15/2022
rhov,10,0.021,0.4,3/15/2022
rhov,50,0.07,0.41,3/15/2022
rhov,50,0.047,0.38,3/15/2022
rhov,50,0.059,0.45,3/15/2022
rhov,21,0.092,0.4,3/15/2022
rhov,21,0.068,0.39,3/15/2022
rhov,21,0.017,0.26,3/15/2022
hear,24,0.22,0.3,3/15/2022
hear,24,0.109,0.38,3/15/2022
hear,24,0.121,0.33,3/15/2022
rhov,17,0.038,0.44,3/15/2022
rhov,17,0.055,0.34,3/15/2022
rhov,14,0.08,0.53,3/15/2022
rhov,14,0.137,0.42,3/15/2022
rhov,14,0.083,0.53,3/15/2022
rhov,11,0.053,0.53,3/15/2022
rhov,11,0.089,0.44,3/15/2022
rhov,11,0.043,0.37,3/15/2022
rhov,34,0.096,0.49,3/15/2022
rhov,34,0.102,0.5,3/15/2022
rhov,34,0.083,0.63,3/15/2022
rhov,39,0.046,0.58,3/15/2022
rhov,39,0.042,0.59,3/15/2022
rhov,39,0.048,0.48,3/15/2022
hear,22,0.099,0.54,3/15/2022
hear,22,0.127,0.56,3/15/2022
hear,22,0.049,0.55,3/15/2022
hear,10,0.22,0.52,3/15/2022
hear,10,0.12,0.53,3/15/2022
hear,10,0.08,0.54,3/15/2022
hear,14,0.039,0.35,3/15/2022
hear,14,0.059,0.42,3/15/2022
hear,14,0.032,0.29,3/15/2022
hear,6,0.122,0.58,3/15/2022
hear,6,0.191,0.61,3/15/2022
hear,6,0.062,0.62,3/15/2022
hear,15,0.17,0.49,3/15/2022
hear,15,0.13,0.52,3/15/2022
ceol,20,0.278,0.52,3/15/2022
ceol,20,0.224,0.68,3/15/2022
ceol,20,0.168,0.41,3/15/2022
ceol,21,0.145,0.26,3/15/2022
ceol,21,0.104,0.16,3/15/2022
ceol,21,0.114,0.19,3/15/2022
ceol,12,0.091,0.21,3/15/2022
ceol,12,0.116,0.14,3/15/2022
ceol,12,0.081,0.2,3/15/2022
ceol,1,0.136,0.16,3/15/2022
ceol,1,0.249,0.41,3/15/2022
ceol,1,0.109,0.26,3/15/2022
ceol,2,0.205,0.27,3/15/2022
ceol,2,0.133,0.42,3/15/2022
ceol,2,0.132,0.23,3/15/2022
ceol,17,0.129,0.34,3/15/2022
ceol,17,0.115,0.24,3/15/2022
ceol,17,0.204,0.24,3/15/2022
ceol,19,0.085,0.45,3/15/2022
ceol,19,0.119,0.47,3/15/2022
ceol,19,0.143,0.39,3/15/2022
rhov,42,0.026,0.57,3/15/2022
rhov,42,0.033,0.6,3/15/2022
rhov,42,0.031,0.52,3/15/2022
rhov,38,0.081,0.57,3/15/2022
rhov,38,0.044,0.53,3/15/2022
rhov,38,0.048,0.55,3/15/2022
rhov,17,0.063,0.35,3/15/2022
rhov,42,0.051,0.21,3/17/2022
rhov,42,0.031,0.19,3/17/2022
rhov,39,0.039,0.26,3/17/2022
rhov,39,0.042,0.25,3/17/2022
rhov,39,0.045,0.36,3/17/2022
rhov,11,0.101,0.42,3/17/2022
rhov,11,0.062,0.2,3/17/2022
rhov,11,0.065,0.49,3/17/2022
rhov,24,0.044,0.23,3/17/2022
rhov,24,0.045,0.19,3/17/2022
rhov,24,0.077,0.24,3/17/2022
rhov,8,0.027,0.09,3/17/2022
rhov,8,0.045,0.21,3/17/2022
rhov,8,0.068,0.21,3/17/2022
hear,16,0.053,0.2,3/17/2022
hear,16,0.251,0.59,3/17/2022
hear,16,0.157,0.58,3/17/2022
hear,12,0.344,0.69,3/17/2022
hear,12,0.215,0.59,3/17/2022
hear,12,0.114,0.31,3/17/2022
hear,18,0.097,0.44,3/17/2022
hear,18,0.324,0.55,3/17/2022
hear,18,0.16,0.26,3/17/2022
hear,14,0.045,0.16,3/17/2022
hear,14,0.041,0.12,3/17/2022
hear,14,0.062,0.27,3/17/2022
hear,8,0.106,0.74,3/17/2022
hear,8,0.235,0.34,3/17/2022
hear,8,0.247,0.69,3/17/2022
hear,10,0.186,0.24,3/17/2022
hear,10,0.165,0.63,3/17/2022
hear,10,0.173,0.55,3/17/2022
hear,6,0.14,0.7,3/17/2022
hear,6,0.25,0.67,3/17/2022
hear,6,0.2,0.6,3/17/2022
rhov,34,0.155,0.34,3/17/2022
rhov,34,0.142,0.37,3/17/2022
rhov,34,0.181,0.28,3/17/2022
rhov,38,0.071,0.61,3/17/2022
rhov,38,0.067,0.54,3/17/2022
rhov,38,0.101,0.6,3/17/2022
rhov,42,0.049,0.24,3/17/2022
rhov,14,0.066,0.17,3/17/2022
rhov,44,0.016,0.24,3/17/2022
rhov,44,0.05,0.31,3/17/2022
rhov,44,0.006,0.15,3/17/2022
rhov,50,0.113,0.22,3/17/2022
rhov,50,0.115,0.24,3/17/2022
rhov,50,0.046,0.21,3/17/2022
ceol,1,0.071,0.12,3/17/2022
ceol,1,0.121,0.13,3/17/2022
ceol,1,0.13,0.15,3/17/2022
ceol,20,0.369,0.3,3/17/2022
ceol,20,0.242,0.32,3/17/2022
ceol,20,0.246,0.24,3/17/2022
ceol,17,0.159,0.14,3/17/2022
ceol,17,0.327,0.29,3/17/2022
ceol,17,0.224,0.27,3/17/2022
ceol,40,0.292,0.55,3/17/2022
ceol,40,0.188,0.32,3/17/2022
ceol,40,0.184,0.42,3/17/2022
ceol,21,0.104,0.38,3/17/2022
ceol,21,0.14,0.29,3/17/2022
ceol,21,0.08,0.21,3/17/2022
ceol,41,0.541,0.49,3/17/2022
ceol,41,0.15,0.23,3/17/2022
ceol,41,0.376,0.3,3/17/2022
ceol,12,0.072,0.13,3/17/2022
ceol,12,0.074,0.15,3/17/2022
ceol,12,0.085,0.29,3/17/2022
hear,9,0.211,0.72,3/17/2022
hear,9,0.284,0.61,3/17/2022
hear,24,0.089,0.55,3/17/2022
hear,24,0.093,0.57,3/17/2022
hear,24,0.188,0.68,3/17/2022
hear,15,0.068,0.61,3/17/2022
hear,15,0.112,0.29,3/17/2022
hear,15,0.26,0.7,3/17/2022
hear,3,0.229,0.66,3/17/2022
hear,3,0.228,0.53,3/17/2022
hear,3,0.379,0.57,3/17/2022
hear,21,0.035,0.54,3/17/2022
hear,21,0.052,0.49,3/17/2022
hear,21,0.032,0.46,3/17/2022
rhov,10,0.061,0.3,3/17/2022
rhov,10,0.043,0.23,3/17/2022
rhov,10,0.004,0.23,3/17/2022
rhov,25,0.076,0.19,3/17/2022
rhov,25,0.076,0.23,3/17/2022
rhov,25,0.087,0.22,3/17/2022
rhov,9,0.066,0.68,3/17/2022
rhov,9,0.08,0.39,3/17/2022
rhov,9,0.075,0.14,3/17/2022
rhov,48,0.059,0.23,3/17/2022
rhov,48,0.053,0.51,3/17/2022
rhov,48,0.02,0.18,3/17/2022
rhov,14,0.041,0.23,3/17/2022
rhov,14,0.048,0.25,3/17/2022
ceol,18,0.18,0.28,3/17/2022
ceol,18,0.222,0.29,3/17/2022
ceol,18,0.274,0.3,3/17/2022
ceol,28,0.544,0.62,3/17/2022
ceol,28,0.499,0.59,3/17/2022
ceol,28,0.458,0.52,3/17/2022
ceol,45,0.399,0.29,3/17/2022
ceol,45,0.415,0.33,3/17/2022
ceol,45,0.441,0.6,3/17/2022
ceol,25,0.126,0.14,3/17/2022
ceol,25,0.136,0.31,3/17/2022
ceol,25,0.099,0.42,3/17/2022
ceol,31,0.264,0.56,3/17/2022
ceol,31,0.343,0.49,3/17/2022
ceol,31,0.289,0.24,3/17/2022
ceol,43,0.316,0.31,3/17/2022
ceol,43,0.326,0.29,3/17/2022
ceol,43,0.369,0.38,3/17/2022
ceol,30,0.556,0.66,3/17/2022
ceol,30,0.153,0.58,3/17/2022
ceol,30,0.375,0.64,3/17/2022
hear,23,0.186,0.53,3/17/2022
hear,23,0.403,0.71,3/17/2022
hear,23,0.209,,3/17/2022
hear,4,0.023,0.14,3/17/2022
hear,4,0.054,0.4,3/17/2022
hear,4,0.025,0.35,3/17/2022
hear,9,0.167,0.25,3/17/2022
ceol,25,0.125,0.37,3/15/2022
ceol,25,0.132,0.32,3/15/2022
ceol,45,0.215,0.51,3/15/2022
ceol,45,0.082,0.23,3/15/2022
ceol,45,0.359,0.58,3/15/2022
ceol,28,0.393,0.62,3/15/2022
ceol,28,0.111,0.38,3/15/2022
ceol,28,0.28,0.61,3/15/2022
ceol,18,0.29,0.6,3/15/2022
ceol,18,0.18,0.51,3/15/2022
ceol,18,0.18,0.62,3/15/2022
rhov,39,0.063,0.32,3/21/2022
rhov,39,0.042,0.27,3/21/2022
rhov,39,0.092,0.32,3/21/2022
rhov,38,0.089,0.39,3/21/2022
rhov,38,0.112,0.4,3/21/2022
rhov,38,0.137,0.67,3/21/2022
ceol,17,0.213,0.35,3/21/2022
ceol,17,0.149,0.33,3/21/2022
ceol,17,0.308,0.61,3/21/2022
ceol,21,0.051,0.16,3/21/2022
ceol,21,0.054,0.25,3/21/2022
ceol,21,0.11,0.39,3/21/2022
hear,14,0.044,0.5,3/21/2022
hear,14,0.033,0.13,3/21/2022
hear,14,0.028,0.28,3/21/2022
ceol,12,0.059,0.14,3/21/2022
ceol,12,0.089,0.73,3/21/2022
ceol,12,0.072,0.24,3/21/2022
ceol,1,0.077,0.13,3/21/2022
ceol,1,0.112,0.86,3/21/2022
ceol,1,0.061,0.85,3/21/2022
ceol,20,0.153,0.56,3/21/2022
ceol,20,0.084,0.25,3/21/2022
ceol,20,0.235,0.86,3/21/2022
hear,10,0.116,0.48,3/21/2022
hear,10,0.119,0.35,3/21/2022
hear,10,0.105,0.49,3/21/2022
rhov,10,0.062,0.41,3/21/2022
rhov,10,0.016,0.62,3/21/2022
rhov,10,0.093,0.43,3/21/2022
rhov,44,0.033,0.24,3/21/2022
rhov,44,0.032,0.46,3/21/2022
rhov,44,0.065,0.23,3/21/2022
hear,24,0.082,0.21,3/21/2022
hear,24,0.141,0.48,3/21/2022
hear,24,0.102,0.74,3/21/2022
hear,3,0.121,0.58,3/21/2022
hear,3,0.214,0.51,3/21/2022
hear,3,0.251,0.42,3/21/2022
ceol,31,0.314,0.3,3/21/2022
ceol,31,0.381,0.24,3/21/2022
ceol,31,0.396,0.35,3/21/2022
rhov,27,0.066,0.29,3/21/2022
rhov,27,0.69,0.18,3/21/2022
rhov,27,0.077,0.24,3/21/2022
hear,22,0.112,0.22,3/21/2022
hear,22,0.145,0.48,3/21/2022
hear,22,0.079,0.58,3/21/2022
hear,18,0.095,0.32,3/21/2022
hear,18,0.125,0.24,3/21/2022
hear,18,0.164,0.67,3/21/2022
ceol,15,0.042,0.08,3/21/2022
ceol,15,0.008,0.05,3/21/2022
ceol,15,0.033,0.12,3/21/2022
rhov,11,0.033,0.3,3/21/2022
rhov,11,0.084,0.32,3/21/2022
rhov,11,0.07,0.29,3/21/2022
hear,20,0.111,0.29,3/21/2022
hear,20,0.06,0.24,3/21/2022
hear,20,0.145,0.67,3/21/2022
hear,9,0.165,0.24,3/21/2022
hear,9,0.074,0.19,3/21/2022
hear,9,0.071,0.22,3/21/2022
rhov,36,0.103,0.38,3/21/2022
rhov,36,0.15,0.64,3/21/2022
rhov,36,0.131,0.68,3/21/2022
ceol,35,0.142,0.34,3/21/2022
ceol,35,0.366,0.51,3/21/2022
ceol,35,0.076,0.28,3/21/2022
ceol,24,0.056,0.43,3/21/2022
ceol,24,0.079,0.21,3/21/2022
ceol,24,0.029,0.52,3/21/2022
rhov,35,0.072,0.54,3/21/2022
rhov,35,0.073,0.55,3/21/2022
rhov,35,0.189,0.52,3/21/2022
rhov,9,0.093,0.88,3/21/2022
rhov,9,0.09,0.24,3/21/2022
rhov,9,0.094,0.36,3/21/2022
rhov,50,0.103,0.28,3/21/2022
rhov,50,0.097,0.27,3/21/2022
rhov,50,0.065,0.28,3/21/2022
rhov,48,0.069,0.55,3/21/2022
rhov,48,0.073,0.35,3/21/2022
rhov,48,0.055,0.26,3/21/2022
hear,21,0.037,0.23,3/21/2022
hear,21,0.059,0.22,3/21/2022
hear,21,0.032,0.19,3/21/2022
hear,13,0.131,0.31,3/21/2022
hear,13,0.173,0.2,3/21/2022
rhov,34,0.239,0.22,3/21/2022
rhov,34,0.218,0.62,3/21/2022
rhov,34,0.209,0.4,3/21/2022
hear,8,0.134,0.29,3/21/2022
hear,8,0.152,0.43,3/21/2022
hear,8,0.13,0.47,3/21/2022
rhov,24,0.082,0.25,3/21/2022
rhov,24,0.11,0.36,3/21/2022
rhov,24,0.104,0.24,3/21/2022
hear,15,0.089,0.28,3/21/2022
hear,15,0.128,0.45,3/21/2022
hear,15,0.258,0.52,3/21/2022
ceol,18,0.327,0.46,3/21/2022
ceol,18,0.388,0.52,3/21/2022
ceol,18,0.486,0.61,3/21/2022
ceol,45,0.648,0.51,3/21/2022
ceol,45,0.523,0.56,3/21/2022
ceol,45,0.271,0.5,3/21/2022
ceol,25,0.134,0.23,3/21/2022
ceol,25,0.15,0.58,3/21/2022
ceol,25,0.227,0.46,3/21/2022
hear,4,0.061,0.12,3/21/2022
hear,4,0.04,0.38,3/21/2022
hear,4,0.066,0.22,3/21/2022
ceol,28,0.324,0.32,3/21/2022
ceol,28,0.398,0.38,3/21/2022
ceol,28,0.597,0.43,3/21/2022
rhov,42,0.086,0.41,3/21/2022
rhov,42,0.057,0.52,3/21/2022
rhov,42,0.06,0.55,3/21/2022
hear,6,0.16,0.3,3/21/2022
hear,6,0.145,0.3,3/21/2022
hear,6,0.137,0.18,3/21/2022
ceol,9,0.227,0.2,3/21/2022
ceol,9,0.248,0.32,3/21/2022
ceol,9,0.364,,3/21/2022
hear,13,0.094,0.3,3/21/2022
rhov,6,0.16,0.18,3/23/2022
rhov,6,0.089,0.23,3/23/2022
rhov,6,0.105,0.17,3/23/2022
hear,20,0.125,0.51,3/23/2022
hear,20,0.094,0.23,3/23/2022
hear,20,0.074,0.22,3/23/2022
rhov,12,0.118,0.6,3/23/2022
rhov,12,0.102,0.23,3/23/2022
rhov,12,0.087,0.26,3/23/2022
ceol,43,0.404,0.53,3/23/2022
ceol,43,0.304,0.88,3/23/2022
ceol,43,0.613,0.65,3/23/2022
hear,4,0.076,0.21,3/23/2022
hear,4,0.092,0.22,3/23/2022
hear,4,0.082,0.36,3/23/2022
ceol,28,0.523,0.38,3/23/2022
ceol,28,0.244,0.63,3/23/2022
ceol,28,0.482,0.38,3/23/2022
hear,2,0.072,0.5,3/23/2022
hear,2,0.083,0.36,3/23/2022
hear,2,0.303,0.78,3/23/2022
rhov,50,0.08,0.24,3/23/2022
rhov,50,0.091,0.34,3/23/2022
rhov,50,0.063,0.35,3/23/2022
ceol,18,0.491,0.43,3/23/2022
ceol,18,0.263,0.38,3/23/2022
ceol,18,0.648,0.87,3/23/2022
rhov,48,0.055,0.57,3/23/2022
rhov,48,0.046,0.22,3/23/2022
rhov,48,0.061,0.54,3/23/2022
ceol,45,0.414,0.46,3/23/2022
ceol,45,0.257,0.4,3/23/2022
ceol,45,0.419,0.29,3/23/2022
rhov,10,0.029,0.42,3/23/2022
rhov,10,0.046,0.36,3/23/2022
rhov,10,0.056,0.26,3/23/2022
ceol,31,0.372,0.34,3/23/2022
ceol,31,0.402,0.38,3/23/2022
ceol,31,0.676,0.46,3/23/2022
hear,15,0.07,0.15,3/23/2022
hear,15,0.064,0.6,3/23/2022
hear,15,0.133,0.31,3/23/2022
hear,24,0.094,0.37,3/23/2022
hear,24,0.23,0.28,3/23/2022
hear,24,0.226,0.024,3/23/2022
hear,21,0.049,0.16,3/23/2022
hear,21,0.032,0.18,3/23/2022
hear,21,0.037,0.26,3/23/2022
rhov,44,0.039,0.36,3/23/2022
rhov,44,0.028,0.24,3/23/2022
rhov,44,0.021,0.47,3/23/2022
hear,3,0.241,0.31,3/23/2022
hear,3,0.176,0.29,3/23/2022
hear,3,0.22,0.32,3/23/2022
ceol,29,0.4,0.44,3/23/2022
ceol,29,0.201,0.55,3/23/2022
ceol,29,0.507,0.43,3/23/2022
rhov,9,0.062,0.2,3/23/2022
rhov,9,0.093,0.34,3/23/2022
rhov,9,0.042,0.77,3/23/2022
ceol,25,0.138,0.45,3/23/2022
ceol,25,0.131,0.24,3/23/2022
ceol,25,0.131,0.28,3/23/2022
hear,16,0.16,0.23,3/23/2022
hear,16,0.164,0.3,3/23/2022
hear,16,0.263,0.46,3/23/2022
ceol,40,0.087,0.46,3/23/2022
ceol,40,0.092,0.63,3/23/2022
ceol,40,0.064,0.58,3/23/2022
rhov,32,0.074,0.31,3/23/2022
rhov,32,0.118,0.62,3/23/2022
rhov,32,0.067,0.73,3/23/2022
hear,6,0.17,0.43,3/23/2022
hear,6,0.201,0.61,3/23/2022
hear,6,0.174,0.64,3/23/2022
rhov,42,0.058,0.45,3/23/2022
rhov,42,0.066,0.44,3/23/2022
rhov,42,0.032,0.4,3/23/2022
rhov,38,0.067,0.39,3/23/2022
rhov,38,0.109,0.41,3/23/2022
rhov,38,0.089,0.63,3/23/2022
hear,8,0.086,0.27,3/23/2022
hear,8,0.169,0.44,3/23/2022
hear,8,0.067,0.64,3/23/2022
ceol,17,0.214,0.23,3/23/2022
ceol,17,0.1,0.41,3/23/2022
ceol,17,0.078,0.16,3/23/2022
rhov,47,0.06,0.21,3/23/2022
rhov,47,0.066,0.48,3/23/2022
rhov,47,0.094,0.61,3/23/2022
hear,13,0.119,0.6,3/23/2022
hear,13,0.073,0.46,3/23/2022
hear,13,0.096,0.67,3/23/2022
hear,18,0.026,0.7,3/23/2022
hear,18,0.08,0.71,3/23/2022
hear,18,0.124,0.67,3/23/2022
hear,10,0.102,0.63,3/23/2022
hear,10,0.123,0.59,3/23/2022
hear,10,0.131,0.71,3/23/2022
rhov,39,0.07,0.51,3/23/2022
rhov,39,0.044,0.53,3/23/2022
rhov,39,0.039,0.59,3/23/2022
ceol,16,0.062,0.14,3/23/2022
ceol,16,0.073,0.58,3/23/2022
ceol,16,0.049,0.56,3/23/2022
ceol,1,0.067,0.35,3/23/2022
ceol,1,0.148,0.56,3/23/2022
ceol,1,0.152,0.65,3/23/2022
ceol,12,0.087,0.15,3/23/2022
ceol,12,0.075,0.32,3/23/2022
ceol,12,0.083,0.38,3/23/2022
rhov,11,0.078,0.73,3/23/2022
rhov,11,0.102,0.66,3/23/2022
rhov,11,0.032,0.59,3/23/2022
ceol,21,0.094,0.28,3/23/2022
ceol,21,0.066,0.27,3/23/2022
ceol,21,0.061,0.5,3/23/2022
rhov,34,0.184,0.77,3/23/2022
rhov,34,0.156,0.68,3/23/2022
rhov,34,0.16,0.68,3/23/2022
hear,14,0.021,0.09,3/23/2022
hear,14,0.044,0.49,3/23/2022
hear,14,0.032,0.18,3/23/2022
ceol,20,0.113,0.22,3/23/2022
ceol,20,0.188,0.34,3/23/2022
ceol,20,0.243,0.47,3/23/2022
hear,24,0.119,,3/25/2022
hear,24,0.16,,3/25/2022
hear,24,0.242,,3/25/2022
ceol,31,0.282,,3/25/2022
ceol,31,0.54,,3/25/2022
ceol,31,0.639,,3/25/2022
hear,15,0.183,,3/25/2022
hear,15,0.233,,3/25/2022
hear,15,0.295,,3/25/2022
rhov,10,0.026,,3/25/2022
rhov,10,0.044,,3/25/2022
rhov,10,0.038,,3/25/2022
hear,4,0.068,,3/25/2022
hear,4,0.067,,3/25/2022
hear,4,0.073,,3/25/2022
ceol,29,0.339,,3/25/2022
ceol,29,0.458,,3/25/2022
ceol,29,0.452,,3/25/2022
ceol,47,0.048,,3/25/2022
ceol,47,0.345,,3/25/2022
ceol,47,0.364,,3/25/2022
rhov,6,0.094,,3/25/2022
rhov,6,0.074,,3/25/2022
rhov,6,0.058,,3/25/2022
rhov,22,0.117,,3/25/2022
rhov,22,0.2,,3/25/2022
rhov,22,0.062,,3/25/2022
hear,20,0.082,,3/25/2022
hear,20,0.045,,3/25/2022
hear,20,0.287,,3/25/2022
ceol,18,0.336,,3/25/2022
ceol,18,0.303,,3/25/2022
ceol,18,0.351,,3/25/2022
ceol,45,0.367,,3/25/2022
ceol,45,0.356,,3/25/2022
ceol,45,0.372,,3/25/2022
hear,3,0.28,,3/25/2022
hear,3,0.26,,3/25/2022
hear,3,0.226,,3/25/2022
hear,21,0.065,,3/25/2022
hear,21,0.045,,3/25/2022
hear,21,0.043,,3/25/2022
rhov,9,0.066,,3/25/2022
rhov,9,0.088,,3/25/2022
rhov,9,0.077,,3/25/2022
rhov,50,0.107,,3/25/2022
rhov,50,0.158,,3/25/2022
rhov,50,0.058,,3/25/2022
rhov,44,0.028,,3/25/2022
rhov,44,0.059,,3/25/2022
rhov,44,0.027,,3/25/2022
rhov,48,0.079,,3/25/2022
rhov,48,0.088,,3/25/2022
rhov,48,0.047,,3/25/2022
ceol,25,0.15,,3/25/2022
ceol,25,0.125,,3/25/2022
ceol,25,0.37,,3/25/2022
ceol,28,0.369,,3/25/2022
ceol,28,0.495,,3/25/2022
ceol,28,0.437,,3/25/2022
hear,18,0.153,,3/25/2022
hear,18,0.075,,3/25/2022
hear,18,0.114,,3/25/2022
ceol,21,0.062,,3/25/2022
ceol,21,0.069,,3/25/2022
ceol,21,0.243,,3/25/2022
hear,10,0.158,,3/25/2022
hear,10,0.13,,3/25/2022
hear,10,0.22,,3/25/2022
rhov,38,0.06,,3/25/2022
rhov,38,0.068,,3/25/2022
rhov,38,0.111,,3/25/2022
hear,8,0.218,,3/25/2022
hear,8,0.201,,3/25/2022
hear,8,0.25,,3/25/2022
ceol,17,0.276,,3/25/2022
ceol,17,0.058,,3/25/2022
ceol,17,0.102,,3/25/2022
rhov,42,0.052,,3/25/2022
rhov,42,0.032,,3/25/2022
rhov,42,0.047,,3/25/2022
hear,6,0.149,,3/25/2022
hear,6,0.174,,3/25/2022
hear,6,0.155,,3/25/2022
ceol,1,0.057,,3/25/2022
ceol,1,0.101,,3/25/2022
ceol,1,0.082,,3/25/2022
rhov,34,0.146,,3/25/2022
rhov,34,0.149,,3/25/2022
rhov,34,0.095,,3/25/2022
hear,2,0.136,,3/25/2022
hear,2,0.085,,3/25/2022
hear,2,0.228,,3/25/2022
hear,13,0.095,,3/25/2022
hear,13,0.125,,3/25/2022
hear,13,0.186,,3/25/2022
hear,16,0.204,,3/25/2022
hear,16,0.275,,3/25/2022
hear,16,0.201,,3/25/2022
rhov,1,0.116,,3/25/2022
rhov,1,0.087,,3/25/2022
rhov,1,0.109,,3/25/2022
rhov,19,0.122,,3/25/2022
rhov,19,0.066,,3/25/2022
rhov,19,0.137,,3/25/2022
ceol,40,0.096,,3/25/2022
ceol,40,0.144,,3/25/2022
ceol,40,0.17,,3/25/2022
ceol,8,0.016,,3/25/2022
ceol,8,0.04,,3/25/2022
ceol,8,0.072,,3/25/2022
ceol,20,0.274,,3/25/2022
ceol,20,0.275,,3/25/2022
ceol,20,0.193,,3/25/2022
ceol,12,0.08,,3/25/2022
ceol,12,0.043,,3/25/2022
ceol,12,0.059,,3/25/2022
rhov,39,0.047,,3/25/2022
rhov,39,0.036,,3/25/2022
rhov,39,0.03,,3/25/2022
rhov,11,0.057,,3/25/2022
rhov,11,0.113,,3/25/2022
rhov,11,0.049,,3/25/2022
hear,14,0.048,,3/25/2022
hear,14,0.04,,3/25/2022
hear,14,0.067,,3/25/2022
rhov,10,0.025,,3/27/2022
rhov,10,0.004,,3/27/2022
rhov,10,0.054,,3/27/2022
hear,21,0.026,,3/27/2022
hear,21,0.031,,3/27/2022
hear,21,0.05,,3/27/2022
hear,24,0.135,,3/27/2022
hear,24,0.195,,3/27/2022
hear,24,0.197,,3/27/2022
rhov,9,0.078,,3/27/2022
rhov,9,0.042,,3/27/2022
hear,3,0.306,,3/27/2022
hear,3,0.213,,3/27/2022
hear,3,0.238,,3/27/2022
hear,4,0.064,,3/27/2022
hear,4,0.064,,3/27/2022
hear,4,0.022,,3/27/2022
hear,15,0.191,,3/27/2022
hear,15,0.208,,3/27/2022
hear,15,0.107,,3/27/2022
rhov,51,0.077,,3/27/2022
rhov,51,0.102,,3/27/2022
rhov,51,0.041,,3/27/2022
hear,2,0.124,,3/27/2022
hear,2,0.104,,3/27/2022
hear,2,0.199,,3/27/2022
hear,23,0.191,,3/27/2022
hear,23,0.152,,3/27/2022
hear,23,0.147,,3/27/2022
rhov,12,0.065,,3/27/2022
rhov,12,0.051,,3/27/2022
rhov,12,0.068,,3/27/2022
rhov,44,0.051,,3/27/2022
rhov,44,0.026,,3/27/2022
rhov,44,0.008,,3/27/2022
ceol,43,0.266,,3/27/2022
ceol,43,0.358,,3/27/2022
ceol,43,0.309,,3/27/2022
ceol,47,0.305,,3/27/2022
ceol,47,0.167,,3/27/2022
ceol,47,0.194,,3/27/2022
ceol,18,0.287,,3/27/2022
ceol,18,0.267,,3/27/2022
ceol,18,0.292,,3/27/2022
ceol,31,0.208,,3/27/2022
ceol,31,0.256,,3/27/2022
ceol,31,0.197,,3/27/2022
rhov,48,0.043,,3/27/2022
rhov,48,0.045,,3/27/2022
rhov,48,0.013,,3/27/2022
rhov,50,0.065,,3/27/2022
rhov,50,0.049,,3/27/2022
rhov,50,0.116,,3/27/2022
ceol,25,0.088,,3/27/2022
ceol,25,0.096,,3/27/2022
ceol,25,0.219,,3/27/2022
ceol,45,0.344,,3/27/2022
ceol,45,0.304,,3/27/2022
ceol,45,0.357,,3/27/2022
ceol,28,0.413,,3/27/2022
ceol,28,0.417,,3/27/2022
ceol,28,0.087,,3/27/2022
hear,18,0.061,,3/27/2022
hear,18,0.074,,3/27/2022
hear,18,0.103,,3/27/2022
hear,22,0.038,,3/27/2022
hear,22,0.114,,3/27/2022
hear,22,0.103,,3/27/2022
hear,6,0.049,,3/27/2022
hear,6,0.16,,3/27/2022
hear,6,0.163,,3/27/2022
hear,8,0.086,,3/27/2022
hear,8,0.117,,3/27/2022
hear,8,0.116,,3/27/2022
hear,14,0.042,,3/27/2022
hear,14,0.019,,3/27/2022
hear,14,0.079,,3/27/2022
hear,10,0.081,,3/27/2022
hear,10,0.076,,3/27/2022
hear,10,0.068,,3/27/2022
ceol,21,0.041,,3/27/2022
ceol,21,0.039,,3/27/2022
ceol,21,0.128,,3/27/2022
ceol,12,0.059,,3/27/2022
ceol,12,0.033,,3/27/2022
ceol,12,0.049,,3/27/2022
ceol,20,0.195,,3/27/2022
ceol,20,0.146,,3/27/2022
ceol,20,0.254,,3/27/2022
rhov,39,0.049,,3/27/2022
rhov,39,0.031,,3/27/2022
rhov,39,0.043,,3/27/2022
rhov,34,0.129,,3/27/2022
rhov,34,0.129,,3/27/2022
rhov,34,0.114,,3/27/2022
rhov,11,0.098,,3/27/2022
rhov,11,0.098,,3/27/2022
rhov,11,0.066,,3/27/2022
rhov,42,0.048,,3/27/2022
rhov,42,0.028,,3/27/2022
